Iteration	Posterior	Likelihood	Prior	m_b[4][1][1]	m_b[4][1][2]	m_b[4][1][3]	m_b[4][1][4]	m_b[4][1][5]	m_b[4][1][6]	m_b[4][1][7]	m_b[4][2][1]	m_b[4][2][2]	m_b[4][2][3]	m_b[4][2][4]	m_b[4][2][5]	m_b[4][2][6]	m_b[4][2][7]	m_b[4][3][1]	m_b[4][3][2]	m_b[4][3][3]	m_b[4][3][4]	m_b[4][3][5]	m_b[4][3][6]	m_b[4][3][7]	m_b[4][4][1]	m_b[4][4][2]	m_b[4][4][3]	m_b[4][4][4]	m_b[4][4][5]	m_b[4][4][6]	m_b[4][4][7]	m_b[4][5][1]	m_b[4][5][2]	m_b[4][5][3]	m_b[4][5][4]	m_b[4][5][5]	m_b[4][5][6]	m_b[4][5][7]	m_b[4][6][1]	m_b[4][6][2]	m_b[4][6][3]	m_b[4][6][4]	m_b[4][6][5]	m_b[4][6][6]	m_b[4][6][7]	m_b[4][7][1]	m_b[4][7][2]	m_b[4][7][3]	m_b[4][7][4]	m_b[4][7][5]	m_b[4][7][6]	m_b[4][7][7]	m_d[4][1][1]	m_d[4][1][2]	m_d[4][1][3]	m_d[4][1][4]	m_d[4][1][5]	m_d[4][1][6]	m_d[4][1][7]	m_d[4][2][1]	m_d[4][2][2]	m_d[4][2][3]	m_d[4][2][4]	m_d[4][2][5]	m_d[4][2][6]	m_d[4][2][7]	m_d[4][3][1]	m_d[4][3][2]	m_d[4][3][3]	m_d[4][3][4]	m_d[4][3][5]	m_d[4][3][6]	m_d[4][3][7]	m_d[4][4][1]	m_d[4][4][2]	m_d[4][4][3]	m_d[4][4][4]	m_d[4][4][5]	m_d[4][4][6]	m_d[4][4][7]	m_d[4][5][1]	m_d[4][5][2]	m_d[4][5][3]	m_d[4][5][4]	m_d[4][5][5]	m_d[4][5][6]	m_d[4][5][7]	m_d[4][6][1]	m_d[4][6][2]	m_d[4][6][3]	m_d[4][6][4]	m_d[4][6][5]	m_d[4][6][6]	m_d[4][6][7]	m_d[4][7][1]	m_d[4][7][2]	m_d[4][7][3]	m_d[4][7][4]	m_d[4][7][5]	m_d[4][7][6]	m_d[4][7][7]	m_e[4][1][1]	m_e[4][1][2]	m_e[4][1][3]	m_e[4][1][4]	m_e[4][1][5]	m_e[4][1][6]	m_e[4][1][7]	m_w[4][1][1]	m_w[4][1][2]	m_w[4][1][3]	m_w[4][1][4]	m_w[4][1][5]	m_w[4][1][6]	m_w[4][1][7]	r_b[4][1][1]	r_b[4][1][2]	r_b[4][1][3]	r_b[4][1][4]	r_b[4][1][5]	r_b[4][1][6]	r_b[4][1][7]	r_b[4][2][1]	r_b[4][2][2]	r_b[4][2][3]	r_b[4][2][4]	r_b[4][2][5]	r_b[4][2][6]	r_b[4][2][7]	r_b[4][3][1]	r_b[4][3][2]	r_b[4][3][3]	r_b[4][3][4]	r_b[4][3][5]	r_b[4][3][6]	r_b[4][3][7]	r_b[4][4][1]	r_b[4][4][2]	r_b[4][4][3]	r_b[4][4][4]	r_b[4][4][5]	r_b[4][4][6]	r_b[4][4][7]	r_b[4][5][1]	r_b[4][5][2]	r_b[4][5][3]	r_b[4][5][4]	r_b[4][5][5]	r_b[4][5][6]	r_b[4][5][7]	r_b[4][6][1]	r_b[4][6][2]	r_b[4][6][3]	r_b[4][6][4]	r_b[4][6][5]	r_b[4][6][6]	r_b[4][6][7]	r_b[4][7][1]	r_b[4][7][2]	r_b[4][7][3]	r_b[4][7][4]	r_b[4][7][5]	r_b[4][7][6]	r_b[4][7][7]	r_d[4][1][1]	r_d[4][1][2]	r_d[4][1][3]	r_d[4][1][4]	r_d[4][1][5]	r_d[4][1][6]	r_d[4][1][7]	r_d[4][2][1]	r_d[4][2][2]	r_d[4][2][3]	r_d[4][2][4]	r_d[4][2][5]	r_d[4][2][6]	r_d[4][2][7]	r_d[4][3][1]	r_d[4][3][2]	r_d[4][3][3]	r_d[4][3][4]	r_d[4][3][5]	r_d[4][3][6]	r_d[4][3][7]	r_d[4][4][1]	r_d[4][4][2]	r_d[4][4][3]	r_d[4][4][4]	r_d[4][4][5]	r_d[4][4][6]	r_d[4][4][7]	r_d[4][5][1]	r_d[4][5][2]	r_d[4][5][3]	r_d[4][5][4]	r_d[4][5][5]	r_d[4][5][6]	r_d[4][5][7]	r_d[4][6][1]	r_d[4][6][2]	r_d[4][6][3]	r_d[4][6][4]	r_d[4][6][5]	r_d[4][6][6]	r_d[4][6][7]	r_d[4][7][1]	r_d[4][7][2]	r_d[4][7][3]	r_d[4][7][4]	r_d[4][7][5]	r_d[4][7][6]	r_d[4][7][7]	r_e[4][1]	r_e[4][2]	r_e[4][3]	r_e[4][4]	r_e[4][5]	r_e[4][6]	r_e[4][7]	r_w[4][1]	r_w[4][2]	r_w[4][3]	r_w[4][4]	r_w[4][5]	r_w[4][6]	r_w[4][7]	rho_b	rho_d	rho_e	rho_w
0	-198.4319	-186.0971	-12.33484	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	1	1000	1000	1000	1	1	1	1	0	0	0	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0.1	0.1	0.1	0.1	0	0	0	0.1	0.1	0.1	0.1	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0	0	0	0.1	0.1	0.1	0.1	100	100	100	0.1	0.1	0.1	0.1	0	0	0	0.1	0.1	0.1	0.1	0.1
20	-184.6516	-162.4055	-22.24609	4.95497	0.502968	1.23619	1	1	1	295.575	0.699132	4.95497	0.534684	1	1	1	295.575	1.71832	0.743218	4.95497	1	1	1	295.575	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	212.642	212.642	212.642	1	1	1	23.3572	1.5478	4.56142	2.98252	0	0	0	0.0582756	1.18424	1.5478	4.43152	0	0	0	0.0582756	0.774325	1.15051	1.5478	0	0	0	0.0582756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.224464	0.224464	0.224464	0	0	0	0.637296	0.798195	0.634129	0.0237205	1000	1000	1000	0.379188	0.567769	1.61788	3.25261	0	0	0	0.46792	0.169441	0.0171996	0.0422732	0.0341963	0.0341963	0.0341963	10.1076	0.0239077	0.169441	0.0182842	0.0341963	0.0341963	0.0341963	10.1076	0.0587603	0.0254153	0.169441	0.0341963	0.0341963	0.0341963	10.1076	0.0341963	0.0341963	0.0341963	0.0341963	0.0341963	0.0341963	0.0341963	0.0341963	0.0341963	0.0341963	0.0341963	0.0341963	0.0341963	0.0341963	0.0341963	0.0341963	0.0341963	0.0341963	0.0341963	0.0341963	0.0341963	7.27157	7.27157	7.27157	0.0341963	0.0341963	0.0341963	0.798731	0.0681587	0.200866	0.131338	0	0	0	0.00256622	0.0521491	0.0681587	0.195146	0	0	0	0.00256622	0.0340982	0.050664	0.0681587	0	0	0	0.00256622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00988451	0.00988451	0.00988451	0	0	0	0.0280639	0.0675354	0.0536537	0.002007	84.6101	84.6101	84.6101	0.0320831	0.0687209	0.195823	0.393685	0	0	0	0.0566355	0.0341963	0.04403597	0.08461015	0.1210367
40	-172.845	-162.5501	-10.29494	1	0.799198	0.799377	1	1	1	1.2227	0.799198	1	0.799215	1	1	1	1.2227	0.799377	0.799215	1	1	1	1	1.2227	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.2227	1.2227	1.2227	1	1	1	1.52902	0.963718	7.14226	3.25	0	0	0	0.00725848	1.36805	0.963718	6.76991	0	0	0	0.00725848	0.622512	1.29672	0.963718	0	0	0	0.00725848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0378949	0.0378949	0.0378949	0	0	0	0.262094	1	1	1	1000	1000	1000	1	1	1	1.28971	0	0	0	1	0.0318499	0.0254544	0.0254601	0.0318499	0.0318499	0.0318499	0.0389427	0.0254544	0.0318499	0.0254549	0.0318499	0.0318499	0.0318499	0.0389427	0.0254601	0.0254549	0.0318499	0.0318499	0.0318499	0.0318499	0.0389427	0.0318499	0.0318499	0.0318499	0.0318499	0.0318499	0.0318499	0.0318499	0.0318499	0.0318499	0.0318499	0.0318499	0.0318499	0.0318499	0.0318499	0.0318499	0.0318499	0.0318499	0.0318499	0.0318499	0.0318499	0.0318499	0.0389427	0.0389427	0.0389427	0.0318499	0.0318499	0.0318499	0.048699	0.014992	0.111108	0.0505583	0	0	0	0.000112916	0.0212819	0.014992	0.105315	0	0	0	0.000112916	0.00968405	0.0201724	0.014992	0	0	0	0.000112916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000589508	0.000589508	0.000589508	0	0	0	0.00407724	0.0103628	0.0103628	0.0103628	10.3628	10.3628	10.3628	0.0103628	0.152604	0.152604	0.196815	0	0	0	0.152604	0.03184987	0.0155564	0.01036283	0.1526039
60	-172.4185	-160.0946	-12.32392	1.29868	0.18719	0.400835	1	1	1	238.476	0.738558	1.29868	0.197137	1	1	1	238.476	1.5815	0.777806	1.29868	1	1	1	238.476	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	60.4425	60.4425	60.4425	1	1	1	9.31416	0.287113	1.58927	0.811086	0	0	0	0.0452501	1.30699	0.287113	1.51821	0	0	0	0.0452501	0.667022	1.24855	0.287113	0	0	0	0.0452501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0550232	0.0550232	0.0550232	0	0	0	0.287113	1.97024	1.96715	1.96444	1000	1000	1000	1.96568	1.95069	5.67364	12.6084	0	0	0	1.94624	0.0359706	0.00518476	0.0111023	0.0276979	0.0276979	0.0276979	6.60528	0.0204565	0.0359706	0.00546028	0.0276979	0.0276979	0.0276979	6.60528	0.0438041	0.0215435	0.0359706	0.0276979	0.0276979	0.0276979	6.60528	0.0276979	0.0276979	0.0276979	0.0276979	0.0276979	0.0276979	0.0276979	0.0276979	0.0276979	0.0276979	0.0276979	0.0276979	0.0276979	0.0276979	0.0276979	0.0276979	0.0276979	0.0276979	0.0276979	0.0276979	0.0276979	1.67413	1.67413	1.67413	0.0276979	0.0276979	0.0276979	0.257982	0.0161606	0.0894542	0.0456531	0	0	0	0.00254696	0.0735655	0.0161606	0.0854547	0	0	0	0.00254696	0.0375443	0.0702764	0.0161606	0	0	0	0.00254696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00309705	0.00309705	0.00309705	0	0	0	0.0161606	0.0447944	0.0447242	0.0446625	22.7355	22.7355	22.7355	0.0446907	0.0983265	0.285985	0.635539	0	0	0	0.0981021	0.02769786	0.05628639	0.02273552	0.0504059
80	-173.6545	-159.2142	-14.44024	4.8974	1.86016	2.57227	1	1	1	18.8179	0.761234	4.8974	1.90162	1	1	1	18.8179	1.05265	0.778201	4.8974	1	1	1	18.8179	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	45.9835	45.9835	45.9835	1	1	1	23.9515	1.1011	6.54178	3.24704	0	0	0	0.012653	1.32153	1.1011	6.23749	0	0	0	0.012653	0.655948	1.26006	1.1011	0	0	0	0.012653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0626341	0.0626341	0.0626341	0	0	0	0.349932	1.03587	0.201456	2.299	1000	1000	1000	1.72716	1	4.07168	9.43988	0	0	0	1	0.0944491	0.0358742	0.0496077	0.0192856	0.0192856	0.0192856	0.362913	0.0146808	0.0944491	0.0366738	0.0192856	0.0192856	0.0192856	0.362913	0.020301	0.0150081	0.0944491	0.0192856	0.0192856	0.0192856	0.362913	0.0192856	0.0192856	0.0192856	0.0192856	0.0192856	0.0192856	0.0192856	0.0192856	0.0192856	0.0192856	0.0192856	0.0192856	0.0192856	0.0192856	0.0192856	0.0192856	0.0192856	0.0192856	0.0192856	0.0192856	0.0192856	0.886818	0.886818	0.886818	0.0192856	0.0192856	0.0192856	0.461918	0.0222544	0.132216	0.065626	0	0	0	0.00025573	0.0267095	0.0222544	0.126066	0	0	0	0.00025573	0.0132574	0.0254671	0.0222544	0	0	0	0.00025573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0012659	0.0012659	0.0012659	0	0	0	0.0070725	0.0186307	0.0036233	0.0413489	17.9856	17.9856	17.9856	0.031064	0.0659081	0.268356	0.622164	0	0	0	0.0659081	0.01928557	0.02021103	0.01798558	0.06590807
100	-168.5282	-161.3844	-7.143811	1	1	1	1	1	1	4.02782	1	1	1	1	1	1	4.02782	1	1	1	1	1	1	4.02782	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.02782	4.02782	4.02782	1	1	1	4.02782	1.86092	6.89735	4.12122	0	0	0	0.0222125	1.22749	1.86092	6.65999	0	0	0	0.0222125	0.733434	1.18525	1.86092	0	0	0	0.0222125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124814	0.124814	0.124814	0	0	0	0.442172	1	1	0.191483	1000	1000	1000	1	1	5.49763	5.49763	0	0	0	1	0.0101786	0.0101786	0.0101786	0.0101786	0.0101786	0.0101786	0.0409975	0.0101786	0.0101786	0.0101786	0.0101786	0.0101786	0.0101786	0.0409975	0.0101786	0.0101786	0.0101786	0.0101786	0.0101786	0.0101786	0.0409975	0.0101786	0.0101786	0.0101786	0.0101786	0.0101786	0.0101786	0.0101786	0.0101786	0.0101786	0.0101786	0.0101786	0.0101786	0.0101786	0.0101786	0.0101786	0.0101786	0.0101786	0.0101786	0.0101786	0.0101786	0.0101786	0.0409975	0.0409975	0.0409975	0.0101786	0.0101786	0.0101786	0.0409975	0.0481074	0.178306	0.106539	0	0	0	0.000574225	0.0317323	0.0481074	0.17217	0	0	0	0.000574225	0.0189603	0.0306403	0.0481074	0	0	0	0.000574225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00322662	0.00322662	0.00322662	0	0	0	0.0114308	0.0288445	0.0288445	0.00552323	28.8445	28.8445	28.8445	0.0288445	0.0667205	0.366804	0.366804	0	0	0	0.0667205	0.01017856	0.02585142	0.02884447	0.06672047
120	-175.1976	-163.6196	-11.578	1.24866	1.24866	1.24866	1	1	1	1.86952	1	1.24866	1.24866	1	1	1	1.86952	1	1	1.24866	1	1	1	1.86952	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.33439	2.33439	2.33439	1	1	1	2.33439	0.853399	5.6883	3.01336	0	0	0	0.0712226	1.706	0.853399	5.44774	0	0	0	0.0712226	0.903751	1.63386	0.853399	0	0	0	0.0712226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.237476	0.237476	0.237476	0	0	0	0.853399	2.71962	1.74058	0.401426	1000	1000	1000	1.42179	1	6.66714	9.49664	0	0	0	1	0.0677301	0.0677301	0.0677301	0.0542422	0.0542422	0.0542422	0.101407	0.0542422	0.0677301	0.0677301	0.0542422	0.0542422	0.0542422	0.101407	0.0542422	0.0542422	0.0677301	0.0542422	0.0542422	0.0542422	0.101407	0.0542422	0.0542422	0.0542422	0.0542422	0.0542422	0.0542422	0.0542422	0.0542422	0.0542422	0.0542422	0.0542422	0.0542422	0.0542422	0.0542422	0.0542422	0.0542422	0.0542422	0.0542422	0.0542422	0.0542422	0.0542422	0.126623	0.126623	0.126623	0.0542422	0.0542422	0.0542422	0.126623	0.0148224	0.0987985	0.0523382	0	0	0	0.00123704	0.0296311	0.0148224	0.0946202	0	0	0	0.00123704	0.015697	0.028378	0.0148224	0	0	0	0.00123704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00412466	0.00412466	0.00412466	0	0	0	0.0148224	0.00723057	0.00462763	0.00106726	2.65867	2.65867	2.65867	0.00378007	0.0468793	0.312551	0.445196	0	0	0	0.0468793	0.05424218	0.01736871	0.002658671	0.04687932
140	-174.725	-162.7727	-11.95225	8.70771	4.2796	5.65816	1	1	1	12.2371	0.894813	8.70771	4.36163	1	1	1	12.2371	1.18305	0.911967	8.70771	1	1	1	12.2371	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	58.526	58.526	58.526	1	1	1	29.4775	1.4436	16.0222	7.82128	0	0	0	0.014009	2.38508	1.4436	15.2594	0	0	0	0.014009	1.16429	2.27153	1.4436	0	0	0	0.014009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0941076	0.0941076	0.0941076	0	0	0	0.305459	1	0.272156	0.0744315	1000	1000	1000	1	1.36524	4.28266	5.75912	0	0	0	1.36379	0.0802505	0.0394408	0.0521457	0.00921602	0.00921602	0.00921602	0.112777	0.00824662	0.0802505	0.0401969	0.00921602	0.00921602	0.00921602	0.112777	0.010903	0.0084047	0.0802505	0.00921602	0.00921602	0.00921602	0.112777	0.00921602	0.00921602	0.00921602	0.00921602	0.00921602	0.00921602	0.00921602	0.00921602	0.00921602	0.00921602	0.00921602	0.00921602	0.00921602	0.00921602	0.00921602	0.00921602	0.00921602	0.00921602	0.00921602	0.00921602	0.00921602	0.539377	0.539377	0.539377	0.00921602	0.00921602	0.00921602	0.271665	0.0100608	0.111663	0.0545086	0	0	0	9.76325e-05	0.0166223	0.0100608	0.106346	0	0	0	9.76325e-05	0.00811423	0.0158309	0.0100608	0	0	0	9.76325e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000655861	0.000655861	0.000655861	0	0	0	0.00212882	0.000866657	0.000235866	6.45066e-05	0.866657	0.866657	0.866657	0.000866657	0.107575	0.337456	0.453794	0	0	0	0.107461	0.00921602	0.006969262	0.0008666575	0.07879578
160	-175.5172	-162.6248	-12.89245	2.38634	0.813033	1.24146	1	1	1	7.0138	0.844961	2.38634	0.836774	1	1	1	7.0138	1.29021	0.869634	2.38634	1	1	1	7.0138	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6.74878	6.74878	6.74878	1	1	1	2.38634	0.471738	10.358	4.34604	0	0	0	0.0189074	3.41204	0.471738	9.76377	0	0	0	0.0189074	1.43163	3.21629	0.471738	0	0	0	0.0189074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0573975	0.0573975	0.0573975	0	0	0	0.200587	2.21925	2.21516	1.11901	1000	1000	1000	2.21322	2.1456	3.37158	12.7912	0	0	0	2.32234	0.077311	0.0263401	0.0402198	0.0323973	0.0323973	0.0323973	0.227228	0.0273744	0.077311	0.0271092	0.0323973	0.0323973	0.0323973	0.227228	0.0417993	0.0281738	0.077311	0.0323973	0.0323973	0.0323973	0.227228	0.0323973	0.0323973	0.0323973	0.0323973	0.0323973	0.0323973	0.0323973	0.0323973	0.0323973	0.0323973	0.0323973	0.0323973	0.0323973	0.0323973	0.0323973	0.0323973	0.0323973	0.0323973	0.0323973	0.0323973	0.0323973	0.218642	0.218642	0.218642	0.0323973	0.0323973	0.0323973	0.077311	0.00456701	0.100278	0.0420751	0	0	0	0.000183047	0.0330328	0.00456701	0.0945255	0	0	0	0.000183047	0.01386	0.0311377	0.00456701	0	0	0	0.000183047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000555679	0.000555679	0.000555679	0	0	0	0.00194194	0.00614295	0.00613163	0.00309746	2.76802	2.76802	2.76802	0.00612623	0.0854994	0.134354	0.509715	0	0	0	0.0925425	0.0323973	0.009681249	0.002768025	0.03984881
180	-176.8514	-163.5507	-13.30067	1.44634	1.07387	1.07419	1	1	1	1.38278	0.74247	1.44634	1.0739	1	1	1	1.38278	0.742691	0.742491	1.44634	1	1	1	1.38278	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.99998	1.99998	1.99998	1	1	1	2.69161	6.75302	6.75302	6.75302	0	0	0	0.141904	1	6.75302	6.75302	0	0	0	0.141904	1	1	6.75302	0	0	0	0.141904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.958281	0.958281	0.958281	0	0	0	0.958281	0.491368	0.614136	7.92125	1000	1000	1000	1.00712	1.12801	7.55933	17.7289	0	0	0	1.12755	0.0611361	0.0453917	0.0454052	0.0422694	0.0422694	0.0422694	0.0584493	0.0313837	0.0611361	0.045393	0.0422694	0.0422694	0.0422694	0.0584493	0.0313931	0.0313846	0.0611361	0.0422694	0.0422694	0.0422694	0.0584493	0.0422694	0.0422694	0.0422694	0.0422694	0.0422694	0.0422694	0.0422694	0.0422694	0.0422694	0.0422694	0.0422694	0.0422694	0.0422694	0.0422694	0.0422694	0.0422694	0.0422694	0.0422694	0.0422694	0.0422694	0.0422694	0.0845378	0.0845378	0.0845378	0.0422694	0.0422694	0.0422694	0.113773	0.208904	0.208904	0.208904	0	0	0	0.00438978	0.0309348	0.208904	0.208904	0	0	0	0.00438978	0.0309348	0.0309348	0.208904	0	0	0	0.00438978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0296443	0.0296443	0.0296443	0	0	0	0.0296443	0.00119177	0.00148954	0.0192123	2.42542	2.42542	2.42542	0.00244269	0.0412853	0.276671	0.648876	0	0	0	0.0412683	0.04226937	0.03093484	0.002425416	0.03659994
